issue_time,target_time,source_time,source_observed_at,price_forecast,method
2025-02-01T00:00:00,2025-02-01T00:10:00,2025-01-25T00:10:00,2025-01-25T00:20:00,0.3426842818428184,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T00:20:00,2025-01-25T00:20:00,2025-01-25T00:30:00,0.3583642276422764,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T00:30:00,2025-01-25T00:30:00,2025-01-25T00:40:00,0.3347457994579946,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T00:40:00,2025-01-25T00:40:00,2025-01-25T00:50:00,0.3285493224932249,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T00:50:00,2025-01-25T00:50:00,2025-01-25T01:00:00,0.3537168021680217,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:00:00,2025-01-25T01:00:00,2025-01-25T01:10:00,0.3815539295392954,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:10:00,2025-01-25T01:10:00,2025-01-25T01:20:00,0.3715482384823848,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:20:00,2025-01-25T01:20:00,2025-01-25T01:30:00,0.3579352303523035,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:30:00,2025-01-25T01:30:00,2025-01-25T01:40:00,0.3620869918699187,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:40:00,2025-01-25T01:40:00,2025-01-25T01:50:00,0.37044281842818433,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T01:50:00,2025-01-25T01:50:00,2025-01-25T02:00:00,0.36022357723577236,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:00:00,2025-01-25T02:00:00,2025-01-25T02:10:00,0.340679674796748,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:10:00,2025-01-25T02:10:00,2025-01-25T02:20:00,0.3453710027100271,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:20:00,2025-01-25T02:20:00,2025-01-25T02:30:00,0.36883062330623306,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:30:00,2025-01-25T02:30:00,2025-01-25T02:40:00,0.38878509485094853,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:40:00,2025-01-25T02:40:00,2025-01-25T02:50:00,0.38689647696476964,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T02:50:00,2025-01-25T02:50:00,2025-01-25T03:00:00,0.38789512195121945,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:00:00,2025-01-25T03:00:00,2025-01-25T03:10:00,0.40337452574525745,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:10:00,2025-01-25T03:10:00,2025-01-25T03:20:00,0.4198138211382114,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:20:00,2025-01-25T03:20:00,2025-01-25T03:30:00,0.41942655826558267,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:30:00,2025-01-25T03:30:00,2025-01-25T03:40:00,0.4080094850948509,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:40:00,2025-01-25T03:40:00,2025-01-25T03:50:00,0.4074815718157181,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T03:50:00,2025-01-25T03:50:00,2025-01-25T04:00:00,0.40595338753387533,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:00:00,2025-01-25T04:00:00,2025-01-25T04:10:00,0.3999712737127371,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:10:00,2025-01-25T04:10:00,2025-01-25T04:20:00,0.40014498644986446,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:20:00,2025-01-25T04:20:00,2025-01-25T04:30:00,0.4050951219512195,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:30:00,2025-01-25T04:30:00,2025-01-25T04:40:00,0.4017644986449865,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:40:00,2025-01-25T04:40:00,2025-01-25T04:50:00,0.3840308943089431,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T04:50:00,2025-01-25T04:50:00,2025-01-25T05:00:00,0.40376747967479676,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:00:00,2025-01-25T05:00:00,2025-01-25T05:10:00,0.43958021680216797,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:10:00,2025-01-25T05:10:00,2025-01-25T05:20:00,0.4205674796747968,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:20:00,2025-01-25T05:20:00,2025-01-25T05:30:00,0.4241392953929539,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:30:00,2025-01-25T05:30:00,2025-01-25T05:40:00,0.43528780487804875,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:40:00,2025-01-25T05:40:00,2025-01-25T05:50:00,0.39290352303523035,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T05:50:00,2025-01-25T05:50:00,2025-01-25T06:00:00,0.5548883468834688,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:00:00,2025-01-25T06:00:00,2025-01-25T06:10:00,0.8360281842818428,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:10:00,2025-01-25T06:10:00,2025-01-25T06:20:00,0.866731165311653,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:20:00,2025-01-25T06:20:00,2025-01-25T06:30:00,0.8266536585365852,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:30:00,2025-01-25T06:30:00,2025-01-25T06:40:00,0.833651490514905,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:40:00,2025-01-25T06:40:00,2025-01-25T06:50:00,0.8273344173441733,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T06:50:00,2025-01-25T06:50:00,2025-01-25T07:00:00,0.8441436314363143,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:00:00,2025-01-25T07:00:00,2025-01-25T07:10:00,0.8729487804878048,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:10:00,2025-01-25T07:10:00,2025-01-25T07:20:00,0.8567024390243902,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:20:00,2025-01-25T07:20:00,2025-01-25T07:30:00,0.8476983739837398,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:30:00,2025-01-25T07:30:00,2025-01-25T07:40:00,0.8336113821138211,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:40:00,2025-01-25T07:40:00,2025-01-25T07:50:00,0.7761674796747967,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T07:50:00,2025-01-25T07:50:00,2025-01-25T08:00:00,0.8880159891598916,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:00:00,2025-01-25T08:00:00,2025-01-25T08:10:00,1.0948859078590787,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:10:00,2025-01-25T08:10:00,2025-01-25T08:20:00,1.0883753387533874,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:20:00,2025-01-25T08:20:00,2025-01-25T08:30:00,1.0181929539295393,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:30:00,2025-01-25T08:30:00,2025-01-25T08:40:00,0.995189159891599,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:40:00,2025-01-25T08:40:00,2025-01-25T08:50:00,0.9826569105691056,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T08:50:00,2025-01-25T08:50:00,2025-01-25T09:00:00,0.9827476964769647,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T09:00:00,2025-01-25T09:00:00,2025-01-25T09:10:00,0.9967067750677506,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T09:10:00,2025-01-25T09:10:00,2025-01-25T09:20:00,1.0080189701897018,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T09:20:00,2025-01-25T09:20:00,2025-01-25T09:30:00,0.9808747967479675,same-weekday-weighted:4
2025-02-01T00:00:00,2025-02-01T09:30:00,2025-01-25T09:30:00,2025-01-25T09:40:00,0.9230810298102982,same-weekday-weighted:4
