date,actual_soc_start,actual_soc_end,initial_contract_cost_actual,adjustment_cashflow_actual,emergency_cost_actual,total_cost_actual,audit_ok
2025-02-01,7366.818280864198,10770.983648148147,19184.48623344954,535.9593559563334,2465.199481969444,22185.64507137532,True
2025-02-02,10770.983648148147,8004.392129629629,60456.78110652239,-279.91584123533187,1453.4841661194464,61630.349431406496,True
2025-02-03,8004.392129629629,8089.926703703703,64679.56810599179,-1557.4199099774296,4362.911050770841,67485.05924678521,True
2025-02-04,8089.926703703703,6792.473296296295,66754.9584320148,-1070.489258619412,2297.3490525249968,67981.81822592037,True
2025-02-05,6792.473296296295,8819.525370370371,62944.54539097969,2056.833997706873,3330.3585209236116,68331.73790961018,True
2025-02-06,8819.525370370371,2374.0281296296316,64578.725943894104,-2540.4540011832496,2213.7849083194455,64252.0568510303,True
2025-02-07,2374.0281296296316,6499.868471666672,19757.18761173273,-513.9161530715428,1781.2170918611123,21024.4885505223,True
2025-02-08,6499.868471666672,10330.506407407409,15955.97984582492,672.1637957633341,6170.850420193056,22798.99406178131,True
2025-02-09,10330.506407407409,7873.476351851852,58830.85860998362,1193.0314047257116,4399.458842995834,64423.34885770516,True
2025-02-10,7873.476351851852,8693.274203703702,56130.99135797544,875.50168275173,6275.198767252775,63281.69180797995,True
2025-02-11,8693.274203703702,7240.95925925926,55865.481335105476,-1741.084617935529,9791.906436933335,63916.30315410328,True
2025-02-12,7240.95925925926,8776.414037037035,57346.99309170809,-1774.9077100039262,10111.694968709728,65683.78035041389,True
2025-02-13,8776.414037037035,2070.270388888888,48424.0126909916,479.6130782490339,7505.178170954168,56408.803940194804,True
2025-02-14,2070.270388888888,5845.8904629629615,15754.804257846437,660.2932574766357,4840.250040388889,21255.34755571196,True
2025-02-15,5845.8904629629615,10800.0,16869.460873294167,530.9679916341645,7487.429908437496,24887.858773365828,True
2025-02-16,10800.0,7107.393314814815,55561.9075402025,-2746.32441920917,13753.54816341111,66569.13128440443,True
2025-02-17,7107.393314814815,7865.900370370376,56726.78494195993,-3093.1649898449905,9122.124915680559,62755.744867795496,True
