month,q4_2_cost,q4_3_cost,saving
2,1361360.9711782406,1405360.9550005675,-43999.983822326874
3,1298382.3413802215,1288193.8281331307,10188.513247090857
4,1106713.3221508877,1077741.457029366,28971.865121521754
5,1291833.1243360012,1169515.1803314313,122317.9440045699
6,2019140.7848520125,1690067.603403024,329073.1814489886
7,2150018.787897475,2148660.4061845494,1358.3817129256204
8,1739431.6592296048,1621757.686945444,117673.97228416079
9,1443337.9018724377,1285746.9710951694,157590.93077726825
10,1418808.9081803078,1290803.225443847,128005.68273646082
11,1640569.8092951672,1475438.9312896286,165130.8780055386
12,2273727.2685575937,2152809.198847332,120918.06971026165
